2021-01-08T05:55:58-05:00	FortunatePlaintiff	33279	5.4879999999999995
2021-01-20T23:54:44-05:00	UnaccountableMorbidity	43883	5.16
2021-01-24T09:25:51-05:00	HighfalutinExasperation	16631	6.409
2021-02-18T12:04:58-05:00	HealthyRespect	42913	5.296
2021-02-27T06:28:08-05:00	HighfalutinExasperation	17088	5.025
2021-03-08T20:27:50-05:00	PossessiveParallelogram	26006	3.427
2021-03-08T23:46:51-05:00	UnaccountableMorbidity	35752	9.947
2021-03-15T17:50:20-04:00	PoisedVessel	22382	7.568
2021-03-26T21:54:17-04:00	PossessiveParallelogram	23019	5.096
2021-04-02T22:59:58-04:00	FearlessSoy	47154	1.5590000000000002
2021-04-07T08:35:32-04:00	FortunatePlaintiff	12015	6.321
2021-04-12T12:01:22-04:00	SpookyOverexertion	17053	8.567
2021-04-16T14:21:39-04:00	InstinctiveRevitalization	22196	3.55
2021-04-19T11:32:58-04:00	AbandonedImpropriety	30691	8.607
2021-05-01T03:41:27-04:00	SpookyOverexertion	26359	8.556000000000001
2021-05-02T08:13:46-04:00	InstinctiveRevitalization	18376	7.979
2021-05-25T20:43:07-04:00	AbandonedImpropriety	44884	6.221
2021-06-06T16:14:17-04:00	VoraciousEmpowerment	38150	0.076
2021-06-07T03:41:14-04:00	InstinctiveRevitalization	16246	0.325
2021-06-11T11:53:24-04:00	AbandonedImpropriety	15442	3.134
2021-06-14T17:43:40-04:00	HealthyRespect	39965	6.266
2021-06-22T03:41:42-04:00	HealthyRespect	41174	0.429
2021-07-03T11:06:47-04:00	FortunatePlaintiff	33475	5.5280000000000005
2021-07-06T13:39:15-04:00	InstinctiveRevitalization	11071	6.1
2021-07-10T12:19:09-04:00	AbandonedImpropriety	19703	5.335
2021-07-13T21:30:26-04:00	StingyCoast	11933	2.598
2021-07-29T12:13:49-04:00	UnaccountableMorbidity	23471	5.026
2021-08-14T23:07:33-04:00	HighfalutinExasperation	16266	3.816
2021-08-20T12:28:02-04:00	HighfalutinExasperation	34349	2.77
2021-08-23T15:45:39-04:00	InstinctiveRevitalization	20302	0.781
2021-08-23T20:22:11-04:00	VoraciousEmpowerment	11101	9.761
2021-08-25T11:28:17-04:00	AbandonedImpropriety	11245	3.591
2021-08-29T07:26:59-04:00	VoraciousEmpowerment	41506	9.196
2021-08-29T07:43:35-04:00	MadlyVenue	36406	9.911
2021-08-31T06:02:53-04:00	PossessiveParallelogram	11481	5.587
2021-09-18T16:29:05-04:00	UnaccountableMorbidity	37468	9.752
2021-09-22T08:42:56-04:00	UpbeatHome	33247	7.231
2021-09-23T08:17:00-04:00	SpookyOverexertion	22336	6.179
2021-10-05T02:35:37-04:00	VoraciousEmpowerment	12028	1.9569999999999999
2021-10-10T05:35:49-04:00	HighfalutinExasperation	47380	8.144
2021-10-27T06:58:30-04:00	MadlyVenue	41683	1.113
2021-11-04T22:59:23-04:00	MadlyVenue	22066	6.64
2021-11-11T03:05:51-05:00	UnaccountableMorbidity	36238	4.6530000000000005
2021-11-17T02:51:19-05:00	HighfalutinExasperation	35664	4.775
2021-11-19T07:44:48-05:00	SpookyOverexertion	29497	4.095
2021-11-30T19:41:08-05:00	InstinctiveRevitalization	20255	3.187
2021-12-17T06:35:03-05:00	HighfalutinExasperation	42573	4.736
2021-12-21T06:20:19-05:00	PoisedVessel	11328	6.641
2021-12-23T16:56:43-05:00	DesertedResistance	33465	2.312
2021-12-28T00:26:59-05:00	HighfalutinExasperation	18776	6.091
2022-01-08T05:39:04-05:00	DesertedResistance	23127	4.848
2022-01-17T10:41:05-05:00	SpookyOverexertion	42988	9.368
2022-01-26T22:32:21-05:00	SpookyOverexertion	26166	9.656
2022-02-05T12:28:24-05:00	VoraciousEmpowerment	46249	4.668
2022-03-01T09:33:12-05:00	AbandonedImpropriety	40454	1.399
2022-03-18T19:57:46-04:00	SpookyOverexertion	48897	3.318
2022-03-30T13:15:31-04:00	MadlyVenue	27369	8.850999999999999
2022-04-21T14:56:47-04:00	SpookyOverexertion	15723	7.267
2022-05-19T15:57:57-04:00	StingyCoast	17514	2.753
2022-05-25T20:39:56-04:00	MadlyVenue	15191	3.378
2022-05-30T10:02:52-04:00	FortunatePlaintiff	27381	9.004
2022-05-31T23:08:34-04:00	AbandonedImpropriety	44968	4.139
2022-06-19T13:02:06-04:00	InstinctiveRevitalization	43815	9.668
2022-07-08T21:14:38-04:00	MadlyVenue	10592	6.882
2022-07-27T09:00:32-04:00	UpbeatHome	21357	1.8559999999999999
